Buffer Size | OutSpeed | packet loss percent | avg wait time
100         | 11       | 86.155946           | 0.100662
100         | 6        | 90.912519           | 0.186184
100         | 30       | 72.098261           | 0.036733
100         | 54       | 47.707137           | 0.020379
100         | 100      | 0.000000            | 0.010997
10          | 11       | 86.191188           | 0.009157
10000       | 11       | 83.524508           | 10.146080
100000      | 11       | 59.243317           | 101.053788
500         | 11       | 86.078499           | 0.507378
750         | 11       | 86.035715           | 0.761576
1000        | 11       | 85.974222           | 1.015773
